Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
69,11323295,"Chin Hau","2023-11-30 03:23:15",1.00000,3,chinhau
70,11323352,"Baranikumar Chandra","2023-11-30 03:42:07",1.00000,3,baranikumarchandra
71,11323363,"Yating Yu","2023-11-30 03:46:33",1.00000,3,yatingyu
72,11323362,"priyanka reddy #2","2023-11-30 03:52:32",1.00000,3,kasireddy0126
73,11323381,"Toto Wu","2023-11-30 03:52:44",1.00000,3,totowu18
74,11323401,"ABHIRAM VENIGALLA13","2023-11-30 03:53:32",1.00000,3,abhiramvenigalla13
75,11323420,"kira Jmzz","2023-11-30 04:00:57",1.00000,3,kirajmzz
76,11323423,"yash ","2023-11-30 04:01:39",1.00000,3,yashkaja123
77,11323454,"Sachin S Satyanarayan","2023-11-30 04:10:08",1.00000,3,sachinssatyanarayan
78,11323467,"Mounika yannam 46","2023-11-30 04:14:05",1.00000,3,mounikayannam46
79,11323477,QianYu12345,"2023-11-30 04:22:42",1.00000,4,qianyu12345
80,11323496,"divya parigi","2023-11-30 04:26:11",1.00000,3,divyaparigi
81,11323518,KundanaRekha,"2023-11-30 04:30:13",1.00000,3,kundanarekha
82,11323533,"Ishaq ahmed mohammed","2023-11-30 04:33:08",1.00000,3,ishaqahmedmohammed
83,11323579,"nikhil gummakonda","2023-11-30 04:40:02",1.00000,3,nikhilgummakonda
84,11323588,"Venkatesh Damarouthu","2023-11-30 04:43:55",1.00000,3,venkateshdamarouthu
85,11323824,MKC_208,"2023-11-30 05:59:55",1.00000,3,mkc208
86,11324457,"eric han","2023-11-30 08:34:50",1.00000,1,erichan
87,11310627,"Priyanka Guddeti","2023-11-30 15:17:22",1.00000,10,priyankaguddeti
88,11326759,Su.zhang,"2023-11-30 17:29:49",1.00000,3,datasuz
89,11315847,dd0ubleu,"2023-11-30 17:34:15",1.00000,5,dd0ubleu
90,11316797,Jamal@01,"2023-11-30 18:30:54",1.00000,5,jamal01
91,11328556,"Nan Liu0107","2023-12-01 05:03:06",1.00000,3,nanliu0107
92,3276136,"Peter Ming","2023-12-01 07:07:34",1.00000,3,peterming3
93,11330209,"Rashi Watwani","2023-12-01 12:26:38",1.00000,3,rashiwatwani
94,11330822,"ANIL GOGINENI","2023-12-01 15:05:27",1.00000,3,ashoks02
95,1506685,vedika1089,"2023-12-01 21:05:46",1.00000,5,vedika1089
96,11332296,sli233,"2023-12-01 22:51:15",1.00000,5,sli233
97,11332460,FiifiAnkomah,"2023-12-02 00:25:22",1.00000,3,fiifiankomah
98,11332806,halowanwan,"2023-12-02 03:30:29",1.00000,3,halowanwan
99,11332831,"Ruyi Shi","2023-12-02 03:43:04",1.00000,4,roxie5
100,11334620,zaykh_ankang,"2023-12-02 14:02:03",1.00000,4,zaykhankang
101,11335313,"Xiaodan Zhu","2023-12-02 16:50:33",1.00000,4,xiaodanzhuis5213
102,11335677,"Ruqiya Khatoon","2023-12-02 19:03:17",1.00000,4,ruqiyakhatoon
103,11336203,"vishruth balasani","2023-12-02 23:34:00",1.00000,3,vishruthbalasani
104,11336358,"Sumera Irshad","2023-12-03 01:07:23",1.00000,3,sumerairshad
105,11336697,"trine zhang fei","2023-12-03 03:56:01",1.00000,3,trinezhangfei
106,4056176,"berlin #2","2023-12-03 15:29:13",1.00000,7,suberlin
107,11339175,"simeng wen110","2023-12-03 17:24:55",1.00000,3,simengwen110
108,10687985,"Faiz Ramadhan Alvi","2023-12-03 18:13:47",1.00000,10,faizramadhanalvi
109,11339622,Mrunalini17,"2023-12-03 19:25:12",1.00000,3,mrunalini17
110,11340048,"Mohammed shaidai","2023-12-03 21:11:32",1.00000,3,mohammedshaidai
111,11340200,AwinOdhiambo,"2023-12-03 21:59:26",1.00000,3,awinodhiambo
112,11340251,"Saipriya Kalyam","2023-12-03 22:19:36",1.00000,4,saipriyakalyam
113,11340469,"veda kiran","2023-12-03 23:18:45",1.00000,3,vedakiran
114,11340803,Zichen.ZH,"2023-12-04 01:02:56",1.00000,3,zichenzh
115,11340933,"adrienne #2","2023-12-04 01:42:08",1.00000,3,adsrt367
116,11341015,"sidrah aman","2023-12-04 02:05:03",1.00000,3,sidrahaman
117,10007823,Cheryl_XX_Ma,"2023-12-04 02:47:51",1.00000,3,cherylxxma
118,11343982,"Salman Almuzaini","2023-12-04 11:57:03",1.00000,3,salmanalmuzaini
119,11310697,"Gad Rukundo","2023-12-07 07:46:14",1.00000,27,gadrukundo
120,11348285,maolinda,"2023-12-05 03:46:03",1.00000,9,maolinda
121,11283821,"[Deleted] 8a5af6a1-b4b1-42e4-aaca-1eba514416a8","2023-12-06 15:14:13",1.00000,10,del=b59005dd995d0f09
122,11360980,"Paakhi Maheshwari","2023-12-07 05:20:07",1.00000,1,paakhim10
123,11363672,"Анатолий Куприн","2023-12-07 18:15:05",1.00000,2,aceloolrd
124,11366170,"TRẦN NGUYỄN TUẤN ANH","2023-12-08 01:54:37",1.00000,1,anhtrnnguyntun
125,9099351,"khaled ben ahmed","2023-12-08 10:46:25",1.00000,1,khaledbnahmed
126,11260283,"Jayden Li","2023-12-08 20:29:04",1.00000,2,jaydenatsms
127,11370533,Piter07,"2023-12-11 02:51:08",1.00000,9,piter07
128,11370070,Drewiou,"2023-12-10 01:50:52",1.00000,7,drewiou
129,11323574,"WeiChen #2","2023-12-10 09:14:40",1.00000,12,chinwe028
130,11376158,"Zhaonian Wong","2023-12-10 13:27:37",1.00000,2,zhaonianwong
131,8658862,"Saber Ghaderi","2023-12-10 14:29:59",1.00000,1,saberghaderi
132,11376307,imeghasingh,"2023-12-14 20:29:05",1.00000,20,imeghasingh
133,11378537,"Hope Yehiel","2023-12-11 03:03:35",1.00000,1,hopeyehiel
134,11378410,linsizheng,"2023-12-11 12:56:23",1.00000,9,linsizheng
135,11378424,Lnikooy,"2023-12-12 16:57:08",1.00000,7,lnikooy
136,11378469,youngxx423,"2023-12-11 12:56:48",1.00000,7,youngxx423
137,11364397,"Adarsh Raghunath","2023-12-11 07:02:44",1.00000,20,adarshraghunath
138,11379757,Lnikoy11,"2023-12-11 09:32:31",1.00000,3,lnikoy11
139,11379852,YChika,"2023-12-11 08:25:29",1.00000,1,ychika
140,11379713,linxunyi,"2023-12-11 14:57:40",1.00000,8,linxunyi
141,11378603,Wenweiquan,"2023-12-11 16:09:27",1.00000,9,wenweiquan
142,11381644,"Xiaoxuan Fang","2023-12-12 08:59:54",1.00000,5,xiaoxuanfang
143,11371594,"[Deleted] 74d89533-e19a-46e4-9c6d-53b224271534","2023-12-12 10:41:06",1.00000,9,del=0dc07ff68b173743
144,484706,n8w8Today,"2023-12-12 16:54:19",1.00000,11,n8w8today
145,11387355,PratapPuttaswamy666,"2023-12-12 18:14:58",1.00000,10,pratapputtaswamy666
146,11143732,"Dario Maxaieie","2023-12-18 10:39:16",1.00000,4,dariomaxaieie
147,10964644,yansunwei,"2023-12-13 05:59:02",1.00000,1,yansunwei
148,11398482,"Zirui Zhou997","2023-12-15 15:35:25",1.00000,11,"bindweed,del=3a259f122f00f371,del=c432517a53d75af0,fanyua"
149,11387837,Reem_Elardy,"2023-12-14 02:28:27",1.00000,18,reemelardy
150,11393576,"Shubham Patel #6","2023-12-14 06:45:44",1.00000,8,shubhampatel231
151,11395427,hcg_777,"2023-12-14 13:39:38",1.00000,2,hcg777
152,11399212,Rafi15,"2023-12-15 10:29:03",1.00000,1,rafi15
153,11401432,"[Deleted] 26c62b79-32d7-4385-a293-c5baaca04b4a","2023-12-16 02:17:25",1.00000,3,del=75fcf9eef127a78d
154,11403765,Mohamed_amr125,"2023-12-16 17:05:03",1.00000,1,mohamedamr125
155,11390103,"Michał Uppal","2023-12-17 01:14:27",1.00000,4,michauppal
156,10979976,ひなたりゅー,"2023-12-17 21:38:17",1.00000,1,ryuiinui
157,11409706,"Gopal Upadhye","2023-12-18 09:58:05",1.00000,1,gopalupadhye
158,11409707,"Dr. Pratibha Mahajan","2023-12-18 09:59:27",1.00000,2,drpratibhamahajan
159,11409708,"Manisha Mali","2023-12-18 09:58:09",1.00000,1,manishapmali
160,11409709,JyotiBKulkarni,"2023-12-18 10:01:15",1.00000,2,jyotibkulkarni
161,11409711,"Grishma Yadav Bobhate ","2023-12-18 09:58:17",1.00000,1,grishmayadavbobhate
162,11409712,SMJ123my,"2023-12-18 10:01:09",1.00000,2,smj123my
163,11409713,"Mr. Vivek Patil","2023-12-18 09:58:21",1.00000,1,mrvivekpatil
164,11409714,"Varsha Dange","2023-12-18 09:58:23",1.00000,1,varshadange
165,11409715,"rashmi ashtagi","2023-12-18 09:58:23",1.00000,1,rashmiashtagi
166,11409717,"Aparna Junnarkar","2023-12-18 09:58:27",1.00000,1,aparnajunnarkar
167,11409718,"Sandeep Shroff","2023-12-18 09:58:29",1.00000,1,sandeepshroff
168,11409719,"Prajakta Dhamdhere","2023-12-18 09:58:32",1.00000,1,prajaktadhamdhere
169,11409720,"Sonali Powar","2023-12-18 09:58:38",1.00000,1,sonalipowar
170,11409721,JimpySandhu,"2023-12-18 09:58:40",1.00000,1,jimpysandhu
171,11409723,SanjeshPawale,"2023-12-18 09:58:53",1.00000,1,sanjeshpawale
172,11409899,"Sonal Gore25","2023-12-18 10:43:14",1.00000,1,sonalgore25
173,11231364,"Najeeb Z","2024-01-27 09:26:52",1.00000,105,najeebz
174,11411424,"Alvaro Giner","2023-12-19 15:28:31",1.00000,20,alvaroginer
175,11420185,"SW #2","2023-12-31 04:12:20",1.00000,7,shangp
176,11424836,hafizabc77,"2024-01-02 07:15:24",1.00000,11,hafizabc77
177,11420391,"Xinyao Xia","2023-12-21 10:52:23",1.00000,5,xinyaoxia
178,11425957,tracywu,"2023-12-21 13:18:47",1.00000,1,tracyray
179,11291697,FanshuoZeng,"2023-12-21 14:07:44",1.00000,1,fanshuozeng
180,11428371,yuanzhihao254,"2023-12-22 07:50:56",1.00000,9,yuanzhihao254
181,11429679,"Ashish Kumar #24","2023-12-22 13:25:16",1.00000,1,ashishkumarak
182,11430258,"Evgeniy Putilov","2023-12-22 20:11:24",1.00000,2,grower
183,11433055,emiliano_haidyn,"2023-12-23 16:10:51",1.00000,4,emilianohaidyn
184,7959419,"Nursultan Kurmanbekov","2023-12-23 16:12:22",1.00000,1,nursultankurmanbekov
185,11433700,"Дарья Лебедева (гр. РИМ-130907)","2023-12-24 21:58:26",1.00000,5,dashleb
186,11435557,"Efecan Guler","2023-12-24 14:21:44",1.00000,1,efecanxrd
187,7098734,M.Tarek,"2023-12-25 08:20:43",1.00000,4,mohamedtarek1st
188,9982050,"S Kohinoor","2023-12-25 14:36:20",1.00000,15,skohinoor
189,11438616,Thomas_Pollard00,"2023-12-25 14:58:04",1.00000,1,thomaspollard00
190,11438787,jarvis_nrt,"2023-12-25 16:00:29",1.00000,1,jarvisnrt
191,10951186,fertmeneses,"2023-12-26 02:11:27",1.00000,12,fertmeneses
192,11442485,dmitriy_nbu,"2023-12-26 17:52:19",1.00000,1,dmitriynbu
193,11448220,skyywalkerr,"2023-12-28 09:00:33",1.00000,1,skyywalkerr
194,11448795,Joynboy,"2023-12-28 12:49:31",1.00000,2,joynboy
195,11449504,HuJiashu,"2023-12-28 16:17:29",1.00000,1,hujiashu
196,11450884,"crispy mangoes","2023-12-29 07:12:39",1.00000,6,crispymangoes
197,11458507,"LAUVF PITIPAK","2024-01-01 06:22:09",1.00000,2,lauvfpitipak
198,11458806,"Duong Truong Binh","2024-01-09 21:49:07",1.00000,6,duongtruongbinh
199,11066728,NUDTDMWJY,"2024-01-01 15:49:24",1.00000,3,nudtdmwjy
200,9841133,"Aashutosh Dubey","2024-01-02 03:36:33",1.00000,4,aashutoshdubey
201,11462270,Setthanan,"2024-01-02 12:32:25",1.00000,2,setthanan
202,11463139,mmh0510,"2024-01-07 09:28:13",1.00000,11,mmh0510
203,11465188,Tikoooa,"2024-01-03 03:09:34",1.00000,8,tikoooa
204,11466221,"Jean Fidelio Marquez","2024-01-03 07:41:40",1.00000,1,jeanfideliom
205,11465247,nicksaki,"2024-01-04 18:29:42",1.00000,12,nicksaki
206,11465176,cccjjf,"2024-01-04 12:00:44",1.00000,4,cccjjf
207,11462925,xiixxi,"2024-01-04 16:48:05",1.00000,21,xiixxi
208,9343098,rabbie,"2024-01-04 12:27:00",1.00000,1,larjeck
209,11456260,"Lucas de AraujoSouza","2024-01-06 03:22:46",1.00000,16,lucasdearaujosouza
210,11481389,benny000,"2024-01-17 13:39:20",1.00000,13,benny000
211,11482195,uhhechen,"2024-01-17 14:22:59",1.00000,2,uhhechen
212,11483033,"Gennadii Manzhos","2024-01-24 17:14:41",1.00000,11,gennadiimanzhos
213,11076811,Dong&Pan,"2024-01-08 07:04:11",1.00000,4,"donglibin,panyuchen"
214,975032,paultimothymooney,"2024-01-08 20:18:26",1.00000,1,"paultestaccount2,paultimothymooney"
215,11489142,ncuatm111601008,"2024-01-18 07:08:20",1.00000,2,ncuatm111601008
216,11490525,"Xiang Liu #2","2024-01-09 14:59:36",1.00000,1,xianginpurdue
217,11492606,williamyangc,"2024-01-10 01:56:33",1.00000,2,williamyangc
218,11149224,"Jun Toda","2024-01-10 09:06:40",1.00000,12,juntoda
219,5896122,"Hsieh Robin","2024-01-10 10:06:07",1.00000,3,hsiehrobin
220,11242113,"Fung-yu Liu","2024-01-16 16:44:21",1.00000,6,fungyuliu
221,11458838,"Yun-Zhen, Wu","2024-01-16 16:46:31",1.00000,5,yunzhenwu
222,11496874,yeonhe2,"2024-01-12 15:45:40",1.00000,5,yeonhe2
223,11497397,"Ryan Li #2","2024-01-15 04:19:10",1.00000,2,ryanli0819
224,11498906,"Олександр Шищук","2024-01-11 11:51:51",1.00000,1,shyshcuk
225,11499960,ChristianSeyfried,"2024-01-11 17:24:38",1.00000,7,christianseyfried
226,11342976,"Krishan Kumar766","2024-01-11 19:49:56",1.00000,4,krishankumar766
227,11504161,"Boiko Katya","2024-01-12 19:31:10",1.00000,1,boikokatya
228,11504557,kyleli123,"2024-01-12 23:36:47",1.00000,1,kyleli123
229,11504992,Hyung-JoonJung,"2024-01-17 04:56:25",1.00000,6,hyungjoon
230,11298627,"With my sword","2024-01-14 07:22:24",1.00000,1,wang2928
231,11508945,kor_study,"2024-01-14 11:15:09",1.00000,1,korhwan
232,11509014,Sriraj1902,"2024-01-14 11:44:48",1.00000,2,sriraj1902
233,6094168,"Abdalraheem Mokhtar","2024-01-15 15:53:34",1.00000,4,raheemmokhtar
234,11516111,yutianqiufeng,"2024-01-16 08:41:13",1.00000,1,yutianqiufeng
235,4759432,"Gaurav Srivastava (gk)","2024-01-16 11:03:29",1.00000,1,scipygaurav
236,11520366,Luan_Fuzi,"2024-01-17 09:47:30",1.00000,4,luanfuzi
237,11520546,glyphn,"2024-01-17 10:23:21",1.00000,1,arismuhandisin
238,9230731,"Junqi Yan","2024-01-18 23:44:41",1.00000,2,junqiyan
239,11530879,AyanleM,"2024-01-19 10:11:10",1.00000,8,ayanlem
240,11533690,samihiouas,"2024-01-20 00:16:12",1.00000,2,samihiouas
241,11535069,akash8304,"2024-01-20 10:15:44",1.00000,1,akash8304
242,11510228,"Simon Gobin","2024-01-20 14:32:29",1.00000,9,simongobin2
243,11536176,"Chirag Mohan Gupta","2024-01-20 17:02:06",1.00000,2,chiragmohangupta
244,11457321,"[Deleted] d7477670-5efc-432b-8c92-ccd6db28b8fb","2024-01-21 08:15:29",1.00000,21,del=97722935b26d0e49
245,3209165,"Sangkon Han","2024-01-25 16:53:34",1.00000,5,sigmadream
246,11469530,"Joel Ruetas","2024-01-24 00:00:49",1.00000,29,joelruetas
247,11547805,"jgacialian ","2024-01-23 08:32:27",1.00000,1,jgacialian
248,11548834,JessicaaJing,"2024-01-23 12:45:34",1.00000,1,jessicaajing
249,11548924,Frankieechen,"2024-01-23 13:07:21",1.00000,1,frankieechen
250,11098104,"Stepan Steblin-Kamenskii","2024-01-26 13:36:00",1.00000,1,stepansk
251,11329686,Ginger233,"2023-12-04 09:09:02",0.99521,12,ginger233
252,11329408,"Wu Chen","2023-12-04 09:52:09",0.99521,16,cntryroa
253,11314179,"wang jian ciao","2023-12-11 11:57:48",0.99521,27,wangjianciao
254,11350933,liuxinyang,"2023-12-06 02:23:06",0.99521,2,liuyoung
255,11343312,lesliel,"2023-12-04 13:46:22",0.99282,6,leslieliukk
256,11336283,"derek storm","2023-12-19 02:50:41",0.99043,8,derekstorm095
257,11325699,"zhao haodong","2023-12-13 02:49:21",0.99043,18,zhaohaodong
258,11440379,jasonlee/隕夜1027,"2024-01-02 09:19:29",0.98803,20,jasonlee1027
259,11467866,"Li Heng An","2024-01-03 19:57:59",0.98803,10,lihengan
260,11467522,"Lee Heng An","2024-01-04 21:39:02",0.98803,11,leehengan
261,11272252,situyi,"2023-11-29 02:41:25",0.98564,1,situyi
262,2764869,Arki,"2023-12-13 06:20:08",0.98564,21,arkizh
263,11368714,xuyong,"2023-12-10 13:11:40",0.98564,9,xuyongpku
264,11456479,wsdrtiv,"2024-01-06 08:32:05",0.98564,3,wsdrtiv
265,11271288,dawn1123,"2023-12-11 10:53:33",0.98325,7,dawn1123
266,9142941,zhangpingping,"2024-01-04 17:54:39",0.97368,1,zhangpingping
267,11324407,wzd6580,"2023-11-30 08:31:52",0.97129,3,wzd6580
268,11497103,"jianheng zhou","2024-01-14 02:04:11",0.97129,10,jianhengzhou
269,11348434,c4739502,"2023-12-22 06:05:53",0.94976,14,c4739502
270,11534002,kntan1291,"2024-01-21 05:57:13",0.94497,12,kntan1291
271,525602,ukch,"2023-12-10 18:01:19",0.90669,1,udaychettiar
272,11509168,MikhailLovygin,"2024-01-14 12:36:50",0.89952,1,mikhaillovygin
273,11217080,"Gallon Deng","2023-12-21 07:15:03",0.89473,10,gallonden
274,11307313,EVEVEVEV,"2023-12-21 09:30:18",0.89473,2,evevevev
275,11424617,srj2023110196,"2024-01-01 15:20:19",0.89473,6,srj2023110196
276,11361765,zyh2023110206,"2024-01-04 00:56:28",0.89473,24,zyh2023110206
277,11364374,Yyk2023110197,"2024-01-07 14:35:35",0.89473,13,yyk2023
278,11511139,metal6969,"2024-01-19 06:23:17",0.89473,27,metal6969
279,11318626,jaehwan98,"2023-12-13 13:09:52",0.87320,34,jaehwan98
280,11313769,TimeLong,"2023-11-29 14:03:21",0.86124,2,timelong
281,11383566,lebron00821,"2023-12-21 03:57:37",0.84449,3,lebron00821
282,11313204,Zhrymyqmh,"2023-11-29 16:09:33",0.83971,1,zhrymyqmh
283,11465181,PENGPJJ,"2024-01-04 20:37:11",0.83732,6,pengpjj
284,11325466,Sunshine6723,"2023-11-30 12:48:34",0.82775,10,"del=749bd016bcc960fa,sunshine6723,tiffany6682,xuxinxin2"
285,11314355,bairuizhang2403,"2023-11-29 11:03:36",0.82775,5,"chenzefei,liuhaojie123,timan6739,zhangbairui"
286,11325333,"Jingyu Pang6652","2023-11-30 13:20:46",0.82775,9,"eason6835,jingyupang6652,pray7002"
287,11333678,乖小咩咩咩,"2023-12-02 14:22:57",0.82775,6,guaixiaomie2367
288,11262937,"Jimmy Peng JING","2023-12-05 17:06:08",0.82775,1,jimmypengjing
289,11349333,KobeBryant96,"2023-12-06 12:23:40",0.82775,6,kobebryant96
290,11349236,gankice,"2023-12-17 13:45:11",0.82775,4,gankice
291,11390784,CS_MLgroup,"2023-12-15 15:44:20",0.82775,32,"fudongyi,luobidazs,wangjunrru,wyx0219"
292,11396414,FUDONGYY,"2023-12-15 14:10:12",0.82775,16,fudongyy
293,11390868,fdyyyy111,"2023-12-15 06:04:55",0.82775,21,fdyyyy111
294,11398876,amourshipper,"2023-12-15 08:54:43",0.82775,1,amourshipper
295,11399555,Liuyan1112,"2023-12-15 14:07:30",0.82775,10,liuyan1112
296,11399985,SYR002,"2023-12-16 05:39:27",0.82775,11,iwjazizfzy
297,11401858,张大帅哥,"2023-12-16 05:45:45",0.82775,6,"fanyu001,fauditore,tyun2023,zhouzirui"
298,11325604,"feilong zhao","2023-12-18 15:45:38",0.82775,4,feilongzhao
299,11448227,shizhengcheng,"2023-12-29 12:27:32",0.82775,3,shizhengcheng
300,11497568,魔人の食卓,"2024-01-23 06:24:54",0.82775,73,"aokiyamato,futabaendo,kanakuraibuki,majin1no1shokutaku,ouuju0307"
301,11512882,asdfgads,"2024-01-19 05:41:32",0.82775,23,asdfgads
302,11277814,liu6716,"2023-11-30 11:55:22",0.82535,3,liu6716
303,6075943,wangzhen1005,"2023-12-08 07:48:25",0.82535,2,wangzhen1005
304,11306172,DMCYcloHexane,"2023-12-16 08:42:42",0.82535,51,dmcyclohexane
305,11488870,Coccyx,"2024-01-09 07:10:13",0.82535,1,coccyx
306,11513582,snezhana,"2024-01-15 18:47:26",0.82535,3,cnezhmar
307,11247515,"[Deleted] d5aaaf76-d064-43df-afff-8d82dd257461","2023-12-18 08:35:01",0.82296,1,del=d0e8fc22170a386f
308,11409419,tossyhal,"2023-12-18 08:49:51",0.82296,2,tossyhal
309,11128532,tanaka-a-tanaka,"2023-12-11 23:01:36",0.81818,5,tanakaatanaka
310,11282280,"Somya Bisen","2023-12-04 05:46:21",0.81818,1,somyabisen
311,11342291,SomyaBisenKaggle,"2023-12-04 07:09:47",0.81818,2,somyabisenkaggle
312,11354377,"Samiksha Kature","2023-12-08 18:01:35",0.81818,4,samikshakature
313,11372888,"Jiatian F","2023-12-09 16:51:20",0.81818,10,jiatianf
314,11382951,"Manvi Wadhwa","2023-12-11 21:49:19",0.81818,1,manviwad
315,11336721,"Sushil Goud","2023-12-12 03:31:57",0.81818,10,sushilgoud
